"/age","/silver","/athlete","/bronze","/date","/gold","/sport","/country","/total","/year"
"23","0","Michael Phelps","0","24/08/2008","8","Swimming","United States","8","2008"
"19","0","Michael Phelps","2","29/08/2004","6","Swimming","United States","8","2004"
"27","2","Michael Phelps","0","12/08/2012","4","Swimming","United States","6","2012"
"25","2","Natalie Coughlin","3","24/08/2008","1","Swimming","United States","6","2008"
"24","1","Aleksey Nemov","3","01/10/2000","2","Gymnastics","Russia","6","2000"
"24","3","Alicia Coutts","1","12/08/2012","1","Swimming","Australia","5","2012"
"17","0","Missy Franklin","1","12/08/2012","4","Swimming","United States","5","2012"
"27","2","Ryan Lochte","1","12/08/2012","2","Swimming","United States","5","2012"
"22","1","Allison Schmitt","1","12/08/2012","3","Swimming","United States","5","2012"
"21","2","Natalie Coughlin","1","29/08/2004","2","Swimming","United States","5","2004"
"17","2","Ian Thorpe","0","01/10/2000","3","Swimming","Australia","5","2000"
"33","0","Dara Torres","3","01/10/2000","2","Swimming","United States","5","2000"
"26","2","Cindy Klassen","2","26/02/2006","1","Speed Skating","Canada","5","2006"
"18","3","Nastia Liukin","1","24/08/2008","1","Gymnastics","United States","5","2008"
"29","1","Marit Bjørgen","1","28/02/2010","3","Cross Country Skiing","Norway","5","2010"
"20","1","Sun Yang","1","12/08/2012","2","Swimming","China","4","2012"
"24","3","Kirsty Coventry","0","24/08/2008","1","Swimming","Zimbabwe","4","2008"
"23","1","Libby Lenton-Trickett","1","24/08/2008","2","Swimming","Australia","4","2008"
"24","0","Ryan Lochte","2","24/08/2008","2","Swimming","United States","4","2008"
"30","1","Inge de Bruijn","2","29/08/2004","1","Swimming","Netherlands","4","2004"
"28","1","Petria Thomas","0","29/08/2004","3","Swimming","Australia","4","2004"
"21","1","Ian Thorpe","1","29/08/2004","2","Swimming","Australia","4","2004"
"27","1","Inge de Bruijn","0","01/10/2000","3","Swimming","Netherlands","4","2000"
"25","1","Gary Hall Jr.","1","01/10/2000","2","Swimming","United States","4","2000"
"23","2","Michael Klim","0","01/10/2000","2","Swimming","Australia","4","2000"
"27","3","Susie O'Neill","0","01/10/2000","1","Swimming","Australia","4","2000"
"27","0","Jenny Thompson","1","01/10/2000","3","Swimming","United States","4","2000"
"22","0","Pieter van den Hoogenband","2","01/10/2000","2","Swimming","Netherlands","4","2000"
"20","0","An Hyeon-Su","1","26/02/2006","3","Short-Track Speed Skating","South Korea","4","2006"
"17","1","Aliya Mustafina","2","12/08/2012","1","Gymnastics","Russia","4","2012"
"16","3","Shawn Johnson","0","24/08/2008","1","Gymnastics","United States","4","2008"
"26","1","Dmitry Sautin","2","01/10/2000","1","Diving","Russia","4","2000"
"30","1","Leontien Zijlaard-van Moorsel","0","01/10/2000","3","Cycling","Netherlands","4","2000"
"24","1","Petter Northug Jr.","1","28/02/2010","2","Cross Country Skiing","Norway","4","2010"
"28","0","Ole Einar Bjørndalen","0","24/02/2002","4","Biathlon","Norway","4","2002"
"20","1","Janica Kostelic","0","24/02/2002","3","Alpine Skiing","Croatia","4","2002"
"23","1","Nathan Adrian","0","12/08/2012","2","Swimming","United States","3","2012"
"20","1","Yannick Agnel","0","12/08/2012","2","Swimming","France","3","2012"
"18","2","Brittany Elmslie","0","12/08/2012","1","Swimming","Australia","3","2012"
"27","1","Matt Grevers","0","12/08/2012","2","Swimming","United States","3","2012"
"22","2","Ryosuke Irie","1","12/08/2012","0","Swimming","Japan","3","2012"
"28","2","Cullen Jones","0","12/08/2012","1","Swimming","United States","3","2012"
"21","1","Ranomi Kromowidjojo","0","12/08/2012","2","Swimming","Netherlands","3","2012"
"22","1","Camille Muffat","1","12/08/2012","1","Swimming","France","3","2012"
"25","2","Mel Schlanger","0","12/08/2012","1","Swimming","Australia","3","2012"
"20","2","Emily Seebohm","0","12/08/2012","1","Swimming","Australia","3","2012"
"25","1","Rebecca Soni","0","12/08/2012","2","Swimming","United States","3","2012"
"21","1","Satomi Suzuki","2","12/08/2012","0","Swimming","Japan","3","2012"
"24","0","Dana Vollmer","0","12/08/2012","3","Swimming","United States","3","2012"
"25","1","Alain Bernard","1","24/08/2008","1","Swimming","France","3","2008"
"22","3","László Cseh Jr.","0","24/08/2008","0","Swimming","Hungary","3","2008"
"23","1","Matt Grevers","0","24/08/2008","2","Swimming","United States","3","2008"
"25","2","Margaret Hoelzer","1","24/08/2008","0","Swimming","United States","3","2008"
"19","1","Katie Hoff","2","24/08/2008","0","Swimming","United States","3","2008"
"22","1","Leisel Jones","0","24/08/2008","2","Swimming","Australia","3","2008"
"25","0","Kosuke Kitajima","1","24/08/2008","2","Swimming","Japan","3","2008"
"21","1","Andrew Lauterstein","2","24/08/2008","0","Swimming","Australia","3","2008"
"32","0","Jason Lezak","1","24/08/2008","2","Swimming","United States","3","2008"
"23","1","Pang Jiaying","2","24/08/2008","0","Swimming","China","3","2008"
"25","1","Aaron Peirsol","0","24/08/2008","2","Swimming","United States","3","2008"
"20","0","Steph Rice","0","24/08/2008","3","Swimming","Australia","3","2008"
"21","0","Jess Schipper","2","24/08/2008","1","Swimming","Australia","3","2008"
"21","2","Rebecca Soni","0","24/08/2008","1","Swimming","United States","3","2008"
"22","2","Eamon Sullivan","1","24/08/2008","0","Swimming","Australia","3","2008"
"41","3","Dara Torres","0","24/08/2008","0","Swimming","United States","3","2008"
"22","2","Amanda Beard","0","29/08/2004","1","Swimming","United States","3","2004"
"25","0","Antje Buschschulte","3","29/08/2004","0","Swimming","Germany","3","2004"
"20","1","Kirsty Coventry","1","29/08/2004","1","Swimming","Zimbabwe","3","2004"
"21","1","Ian Crocker","1","29/08/2004","1","Swimming","United States","3","2004"
"24","2","Grant Hackett","0","29/08/2004","1","Swimming","Australia","3","2004"
"22","1","Brendan Hansen","1","29/08/2004","1","Swimming","United States","3","2004"
"20","0","Jodie Henry","0","29/08/2004","3","Swimming","Australia","3","2004"
"20","2","Otylia Jedrzejczak","0","29/08/2004","1","Swimming","Poland","3","2004"
"18","1","Leisel Jones","1","29/08/2004","1","Swimming","Australia","3","2004"
"21","0","Kosuke Kitajima","1","29/08/2004","2","Swimming","Japan","3","2004"
"17","1","Laure Manaudou","1","29/08/2004","1","Swimming","France","3","2004"
"21","0","Aaron Peirsol","0","29/08/2004","3","Swimming","United States","3","2004"
"21","1","Kaitlin Sandeno","1","29/08/2004","1","Swimming","United States","3","2004"
"24","1","Roland Schoeman","1","29/08/2004","1","Swimming","South Africa","3","2004"
"26","2","Pieter van den Hoogenband","0","29/08/2004","1","Swimming","Netherlands","3","2004"
"23","2","Therese Alshammar","1","01/10/2000","0","Swimming","Sweden","3","2000"
"18","1","Yana Klochkova","0","01/10/2000","2","Swimming","Ukraine","3","2000"
"24","0","Lenny Krayzelburg","0","01/10/2000","3","Swimming","United States","3","2000"
"22","1","Massimiliano Rosolino","1","01/10/2000","1","Swimming","Italy","3","2000"
"25","2","Petria Thomas","1","01/10/2000","0","Swimming","Australia","3","2000"
"23","2","Matt Welsh","1","01/10/2000","0","Swimming","Australia","3","2000"
"20","1","Lee Jeong-Su","0","28/02/2010","2","Short-Track Speed Skating","South Korea","3","2010"
"27","1","Apolo Anton Ohno","2","28/02/2010","0","Short-Track Speed Skating","United States","3","2010"
"24","0","Wang Meng","0","28/02/2010","3","Short-Track Speed Skating","China","3","2010"
"17","0","Jin Seon-Yu","0","26/02/2006","3","Short-Track Speed Skating","South Korea","3","2006"
"19","2","Lee Ho-Seok","0","26/02/2006","1","Short-Track Speed Skating","South Korea","3","2006"
"23","0","Apolo Anton Ohno","2","26/02/2006","1","Short-Track Speed Skating","United States","3","2006"
"20","1","Wang Meng","1","26/02/2006","1","Short-Track Speed Skating","China","3","2006"
"26","0","Marc Gagnon","1","24/02/2002","2","Short-Track Speed Skating","Canada","3","2002"
"25","1","Yang Yang (A)","0","24/02/2002","2","Short-Track Speed Skating","China","3","2002"
"21","2","Stephanie Beckert","0","28/02/2010","1","Speed Skating","Germany","3","2010"
"22","0","Martina Sáblíková","1","28/02/2010","2","Speed Skating","Czech Republic","3","2010"
"24","0","Enrico Fabris","1","26/02/2006","2","Speed Skating","Italy","3","2006"
"28","1","Chad Hedrick","1","26/02/2006","1","Speed Skating","United States","3","2006"
"25","1","Jochem Uytdehaage","0","24/02/2002","2","Speed Skating","Netherlands","3","2002"
"28","2","Sabine Völker","1","24/02/2002","0","Speed Skating","Germany","3","2002"
"20","0","Gregor Schlierenzauer","2","28/02/2010","1","Ski Jumping","Austria","3","2010"
"27","0","Lars Bystøl","2","26/02/2006","1","Ski Jumping","Norway","3","2006"
"29","3","Johnny Spillane","0","28/02/2010","0","Nordic Combined","United States","3","2010"
"30","1","Felix Gottwald","0","26/02/2006","2","Nordic Combined","Austria","3","2006"
"27","1","Georg Hettich","1","26/02/2006","1","Nordic Combined","Germany","3","2006"
"26","0","Felix Gottwald","3","24/02/2002","0","Nordic Combined","Austria","3","2002"
"22","0","Samppa Lajunen","0","24/02/2002","3","Nordic Combined","Finland","3","2002"
"18","0","Aly Raisman","1","12/08/2012","2","Gymnastics","United States","3","2012"
"23","2","Kohei Uchimura","0","12/08/2012","1","Gymnastics","Japan","3","2012"
"24","0","Zou Kai","1","12/08/2012","2","Gymnastics","China","3","2012"
"20","0","Cheng Fei","2","24/08/2008","1","Gymnastics","China","3","2008"
"28","1","Yang Wei","0","24/08/2008","2","Gymnastics","China","3","2008"
"15","0","Yang Yilin","2","24/08/2008","1","Gymnastics","China","3","2008"
"20","0","Zou Kai","0","24/08/2008","3","Gymnastics","China","3","2008"
"23","1","Marian Dragulescu","2","29/08/2004","0","Gymnastics","Romania","3","2004"
"21","2","Paul Hamm","0","29/08/2004","1","Gymnastics","United States","3","2004"
"16","2","Carly Patterson","0","29/08/2004","1","Gymnastics","United States","3","2004"
"16","0","Catalina Ponor","0","29/08/2004","3","Gymnastics","Romania","3","2004"
"20","0","Simona Amânar","1","01/10/2000","2","Gymnastics","Romania","3","2000"
"21","2","Svetlana Khorkina","0","01/10/2000","1","Gymnastics","Russia","3","2000"
"17","2","Yekaterina Lobaznyuk","1","01/10/2000","0","Gymnastics","Russia","3","2000"
"17","1","Yelena Zamolodchikova","0","01/10/2000","2","Gymnastics","Russia","3","2000"
"26","2","Guo Shuang","1","12/08/2012","0","Cycling","China","3","2012"
"32","0","Chris Hoy","0","24/08/2008","3","Cycling","Great Britain","3","2008"
"24","1","Bradley Wiggins","1","29/08/2004","1","Cycling","Great Britain","3","2004"
"26","1","Florian Rousseau","0","01/10/2000","2","Cycling","France","3","2000"
"27","1","Justyna Kowalczyk","1","28/02/2010","1","Cross Country Skiing","Poland","3","2010"
"29","0","Johan Olsson","2","28/02/2010","1","Cross Country Skiing","Sweden","3","2010"
"33","1","Stefania Belmondo","1","24/02/2002","1","Cross Country Skiing","Italy","3","2002"
"25","1","Yuliya Chepalova","1","24/02/2002","1","Cross Country Skiing","Russia","3","2002"
"29","1","Frode Estil","0","24/02/2002","2","Cross Country Skiing","Norway","3","2002"
"29","1","Bente Skari-Martinsen","1","24/02/2002","1","Cross Country Skiing","Norway","3","2002"
"23","1","Magdalena Neuner","0","28/02/2010","2","Biathlon","Germany","3","2010"
"24","1","Emil Hegle Svendsen","0","28/02/2010","2","Biathlon","Norway","3","2010"
"29","0","Albina Akhatova","2","26/02/2006","1","Biathlon","Russia","3","2006"
"32","2","Ole Einar Bjørndalen","1","26/02/2006","0","Biathlon","Norway","3","2006"
"34","0","Sven Fischer","1","26/02/2006","2","Biathlon","Germany","3","2006"
"26","3","Martina Glagow-Beck","0","26/02/2006","0","Biathlon","Germany","3","2006"
"29","0","Michael Greis","0","26/02/2006","3","Biathlon","Germany","3","2006"
"29","2","Kati Wilhelm","0","26/02/2006","1","Biathlon","Germany","3","2006"
"25","1","Kati Wilhelm","0","24/02/2002","2","Biathlon","Germany","3","2002"
"22","2","Yohan Blake","0","12/08/2012","1","Athletics","Jamaica","3","2012"
"25","0","Usain Bolt","0","12/08/2012","3","Athletics","Jamaica","3","2012"
"26","0","Allyson Felix","0","12/08/2012","3","Athletics","United States","3","2012"
"25","2","Shelly-Ann Fraser-Pryce","0","12/08/2012","1","Athletics","Jamaica","3","2012"
"32","1","Carmelita Jeter","1","12/08/2012","1","Athletics","United States","3","2012"
"21","0","Usain Bolt","0","24/08/2008","3","Athletics","Jamaica","3","2008"
"22","0","Veronica Campbell-Brown","1","29/08/2004","2","Athletics","Jamaica","3","2004"
"22","1","Justin Gatlin","1","29/08/2004","1","Athletics","United States","3","2004"
"32","1","Bode Miller","1","28/02/2010","1","Alpine Skiing","United States","3","2010"
"27","1","Aksel Lund Svindal","1","28/02/2010","1","Alpine Skiing","Norway","3","2010"
"24","0","Anja Pärson","2","26/02/2006","1","Alpine Skiing","Sweden","3","2006"
"32","1","Stephan Eberharter","1","24/02/2002","1","Alpine Skiing","Austria","3","2002"
"22","1","Ding Ning","0","12/08/2012","1","Table Tennis","China","2","2012"
"25","0","Feng Tian Wei","2","12/08/2012","0","Table Tennis","Singapore","2","2012"
"24","0","Li Xiaoxia","0","12/08/2012","2","Table Tennis","China","2","2012"
"23","0","Dmitrij Ovtcharov","2","12/08/2012","0","Table Tennis","Germany","2","2012"
"28","1","Wang Hao","0","12/08/2012","1","Table Tennis","China","2","2012"
"24","0","Zhang Jike","0","12/08/2012","2","Table Tennis","China","2","2012"
"20","0","Guo Yue","1","24/08/2008","1","Table Tennis","China","2","2008"
"28","0","Ma Lin","0","24/08/2008","2","Table Tennis","China","2","2008"
"24","1","Wang Hao","0","24/08/2008","1","Table Tennis","China","2","2008"
"30","0","Wang Liqin","1","24/08/2008","1","Table Tennis","China","2","2008"
"29","1","Wang Nan","0","24/08/2008","1","Table Tennis","China","2","2008"
"26","0","Zhang Yining","0","24/08/2008","2","Table Tennis","China","2","2008"
"22","0","Zhang Yining","0","29/08/2004","2","Table Tennis","China","2","2004"
"24","1","Kong Linghui","0","01/10/2000","1","Table Tennis","China","2","2000"
"24","1","Li Ju","0","01/10/2000","1","Table Tennis","China","2","2000"
"24","1","Liu Guoliang","1","01/10/2000","0","Table Tennis","China","2","2000"
"21","0","Wang Nan","0","01/10/2000","2","Table Tennis","China","2","2000"
"22","0","Viktoriya Azarenko","1","12/08/2012","1","Tennis","Belarus","2","2012"
"34","0","Mike Bryan","1","12/08/2012","1","Tennis","United States","2","2012"
"25","1","Andy Murray","0","12/08/2012","1","Tennis","Great Britain","2","2012"
"30","0","Serena Williams","0","12/08/2012","2","Tennis","United States","2","2012"
"24","0","Fernando González","1","29/08/2004","1","Tennis","Chile","2","2004"
"26","0","Nicolás Massú","0","29/08/2004","2","Tennis","Chile","2","2004"
"20","0","Venus Williams","0","01/10/2000","2","Tennis","United States","2","2000"
"22","1","Ona Carbonell","1","12/08/2012","0","Synchronized Swimming","Spain","2","2012"
"29","1","Andrea Fuentes","1","12/08/2012","0","Synchronized Swimming","Spain","2","2012"
"22","1","Huang Xuechen","1","12/08/2012","0","Synchronized Swimming","China","2","2012"
"26","0","Nataliya Ishchenko","0","12/08/2012","2","Synchronized Swimming","Russia","2","2012"
"25","1","Liu Ou","1","12/08/2012","0","Synchronized Swimming","China","2","2012"
"22","0","Svetlana Romashina","0","12/08/2012","2","Synchronized Swimming","Russia","2","2012"
"25","0","Anastasiya Davydova","0","24/08/2008","2","Synchronized Swimming","Russia","2","2008"
"25","2","Andrea Fuentes","0","24/08/2008","0","Synchronized Swimming","Spain","2","2008"
"31","2","Gemma Mengual","0","24/08/2008","0","Synchronized Swimming","Spain","2","2008"
"25","0","Anastasiya Yermakova","0","24/08/2008","2","Synchronized Swimming","Russia","2","2008"
"21","0","Alison Bartosik","2","29/08/2004","0","Synchronized Swimming","United States","2","2004"
"21","0","Anastasiya Davydova","0","29/08/2004","2","Synchronized Swimming","Russia","2","2004"
"31","0","Anna Kozlova","2","29/08/2004","0","Synchronized Swimming","United States","2","2004"
"29","2","Miya Tachibana","0","29/08/2004","0","Synchronized Swimming","Japan","2","2004"
"27","2","Miho Takeda","0","29/08/2004","0","Synchronized Swimming","Japan","2","2004"
"21","0","Anastasiya Yermakova","0","29/08/2004","2","Synchronized Swimming","Russia","2","2004"
"21","0","Olga Brusnikina","0","01/10/2000","2","Synchronized Swimming","Russia","2","2000"
"25","0","Mariya Kiselyova","0","01/10/2000","2","Synchronized Swimming","Russia","2","2000"
"25","2","Miya Tachibana","0","01/10/2000","0","Synchronized Swimming","Japan","2","2000"
"24","2","Miho Takeda","0","01/10/2000","0","Synchronized Swimming","Japan","2","2000"
"23","0","Becky Adlington","2","12/08/2012","0","Swimming","Great Britain","2","2012"
"23","1","Bronte Barratt","1","12/08/2012","0","Swimming","Australia","2","2012"
"19","1","Elizabeth Beisel","1","12/08/2012","0","Swimming","United States","2","2012"
"21","2","Mireia Belmonte","0","12/08/2012","0","Swimming","Spain","2","2012"
"24","1","Ricky Berens","0","12/08/2012","1","Swimming","United States","2","2012"
"26","2","Aleksandra Gerasimenya","0","12/08/2012","0","Swimming","Belarus","2","2012"
"30","0","Brendan Hansen","1","12/08/2012","1","Swimming","United States","2","2012"
"25","0","Jessica Hardy","1","12/08/2012","1","Swimming","United States","2","2012"
"20","1","Chad le Clos","0","12/08/2012","1","Swimming","South Africa","2","2012"
"24","1","Clément Lefert","0","12/08/2012","1","Swimming","France","2","2012"
"26","1","Amaury Leveaux","0","12/08/2012","1","Swimming","France","2","2012"
"21","1","James Magnussen","1","12/08/2012","0","Swimming","Australia","2","2012"
"28","1","Takeshi Matsuda","1","12/08/2012","0","Swimming","Japan","2","2012"
"28","0","Oussama Mellouli","1","12/08/2012","1","Swimming","Tunisia","2","2012"
"22","2","Park Tae-Hwan","0","12/08/2012","0","Swimming","South Korea","2","2012"
"26","1","Christian Sprenger","1","12/08/2012","0","Swimming","Australia","2","2012"
"24","1","Jeremy Stravius","0","12/08/2012","1","Swimming","France","2","2012"
"27","0","Aya Terakawa","2","12/08/2012","0","Swimming","Japan","2","2012"
"26","1","Nick Thoman","0","12/08/2012","1","Swimming","United States","2","2012"
"33","1","Marleen Veldhuis","1","12/08/2012","0","Swimming","Netherlands","2","2012"
"16","0","Ye Shiwen","0","12/08/2012","2","Swimming","China","2","2012"
"19","0","Becky Adlington","0","24/08/2008","2","Swimming","Great Britain","2","2008"
"22","0","Leith Brodie","2","24/08/2008","0","Swimming","Australia","2","2008"
"16","0","Cate Campbell","2","24/08/2008","0","Swimming","Australia","2","2008"
"21","0","César Cielo Filho","1","24/08/2008","1","Swimming","Brazil","2","2008"
"26","0","Hugues Duboscq","2","24/08/2008","0","Swimming","France","2","2008"
"23","0","Felicity Galvez","0","24/08/2008","2","Swimming","Australia","2","2008"
"28","1","Grant Hackett","1","24/08/2008","0","Swimming","Australia","2","2008"
"22","2","Kara Lynn Joyce","0","24/08/2008","0","Swimming","United States","2","2008"
"22","2","Amaury Leveaux","0","24/08/2008","0","Swimming","France","2","2008"
"22","2","Christine Magnuson","0","24/08/2008","0","Swimming","United States","2","2008"
"24","0","Patrick Murphy","2","24/08/2008","0","Swimming","Australia","2","2008"
"18","1","Park Tae-Hwan","0","24/08/2008","1","Swimming","South Korea","2","2008"
"25","0","Shayne Reese","1","24/08/2008","1","Swimming","Australia","2","2008"
"24","2","Brenton Rickard","0","24/08/2008","0","Swimming","Australia","2","2008"
"21","0","Mel Schlanger","1","24/08/2008","1","Swimming","Australia","2","2008"
"20","1","Julia Smit","1","24/08/2008","0","Swimming","United States","2","2008"
"24","0","Britta Steffen","0","24/08/2008","2","Swimming","Germany","2","2008"
"24","1","Hayden Stoeckel","1","24/08/2008","0","Swimming","Australia","2","2008"
"22","1","Matt Targett","1","24/08/2008","0","Swimming","Australia","2","2008"
"24","0","Peter Vanderkaay","1","24/08/2008","1","Swimming","United States","2","2008"
"24","0","Arkady Vyachanin","2","24/08/2008","0","Swimming","Russia","2","2008"
"23","0","Garrett Weber-Gale","0","24/08/2008","2","Swimming","United States","2","2008"
"27","1","Lindsay Benko","0","29/08/2004","1","Swimming","United States","2","2004"
"29","0","Gary Hall Jr.","1","29/08/2004","1","Swimming","United States","2","2004"
"26","1","Brooke Hanson","0","29/08/2004","1","Swimming","Australia","2","2004"
"18","2","Kara Lynn Joyce","0","29/08/2004","0","Swimming","United States","2","2004"
"22","0","Klete Keller","1","29/08/2004","1","Swimming","United States","2","2004"
"22","0","Yana Klochkova","0","29/08/2004","2","Swimming","Ukraine","2","2004"
"27","1","Rachel Komisarz","0","29/08/2004","1","Swimming","United States","2","2004"
"19","0","Libby Lenton-Trickett","1","29/08/2004","1","Swimming","Australia","2","2004"
"28","0","Jason Lezak","1","29/08/2004","1","Swimming","United States","2","2004"
"20","1","Ryan Lochte","0","29/08/2004","1","Swimming","United States","2","2004"
"18","0","Alice Mills","0","29/08/2004","2","Swimming","Australia","2","2004"
"19","0","Tomomi Morita","2","29/08/2004","0","Swimming","Japan","2","2004"
"22","2","Markus Rogan","0","29/08/2004","0","Swimming","Austria","2","2004"
"31","2","Jenny Thompson","0","29/08/2004","0","Swimming","United States","2","2004"
"26","0","Franziska van Almsick","2","29/08/2004","0","Swimming","Germany","2","2004"
"28","0","Neil Walker","1","29/08/2004","1","Swimming","United States","2","2004"
"18","2","Amanda Weir","0","29/08/2004","0","Swimming","United States","2","2004"
"26","1","Takashi Yamamoto","1","29/08/2004","0","Swimming","Japan","2","2004"
"20","0","Brooke Bennett","0","01/10/2000","2","Swimming","United States","2","2000"
"25","1","Beatrice Coada-Caslaru","1","01/10/2000","0","Swimming","Romania","2","2000"
"28","2","Josh Davis","0","01/10/2000","0","Swimming","United States","2","2000"
"25","1","Tom Dolan","0","01/10/2000","1","Swimming","United States","2","2000"
"19","1","Anthony Ervin","0","01/10/2000","1","Swimming","United States","2","2000"
"23","0","Domenico Fioravanti","0","01/10/2000","2","Swimming","Italy","2","2000"
"20","0","Grant Hackett","0","01/10/2000","2","Swimming","Australia","2","2000"
"21","1","Geoff Huegill","1","01/10/2000","0","Swimming","Australia","2","2000"
"15","2","Leisel Jones","0","01/10/2000","0","Swimming","Australia","2","2000"
"18","1","Klete Keller","1","01/10/2000","0","Swimming","United States","2","2000"
"24","1","Jason Lezak","0","01/10/2000","1","Swimming","United States","2","2000"
"16","0","Diana Mocanu","0","01/10/2000","2","Swimming","Romania","2","2000"
"24","2","Martina Moravcová","0","01/10/2000","0","Swimming","Slovakia","2","2000"
"20","1","Ed Moses","0","01/10/2000","1","Swimming","United States","2","2000"
"18","1","Diana Munz","0","01/10/2000","1","Swimming","United States","2","2000"
"21","1","Mai Nakamura","1","01/10/2000","0","Swimming","Japan","2","2000"
"22","0","Todd Pearson","0","01/10/2000","2","Swimming","Australia","2","2000"
"24","1","Adam Pine","0","01/10/2000","1","Swimming","Australia","2","2000"
"27","0","Claudia Poll","2","01/10/2000","0","Swimming","Costa Rica","2","2000"
"16","0","Megan Quann-Jendrick","0","01/10/2000","2","Swimming","United States","2","2000"
"17","2","Giaan Rooney","0","01/10/2000","0","Swimming","Australia","2","2000"
"22","0","Courtney Shealy","0","01/10/2000","2","Swimming","United States","2","2000"
"25","0","Ashley Tappin","0","01/10/2000","2","Swimming","United States","2","2000"
"22","0","Stev Theloke","2","01/10/2000","0","Swimming","Germany","2","2000"
"27","0","Amy Van Dyken","0","01/10/2000","2","Swimming","United States","2","2000"
"24","1","Neil Walker","0","01/10/2000","1","Swimming","United States","2","2000"
"19","0","J. R. Celski","2","28/02/2010","0","Short-Track Speed Skating","United States","2","2010"
"25","0","Charles Hamelin","0","28/02/2010","2","Short-Track Speed Skating","Canada","2","2010"
"23","2","Lee Ho-Seok","0","28/02/2010","0","Short-Track Speed Skating","South Korea","2","2010"
"17","0","Park Seung-Hui","2","28/02/2010","0","Short-Track Speed Skating","South Korea","2","2010"
"21","1","Katherine Reutter","1","28/02/2010","0","Short-Track Speed Skating","United States","2","2010"
"22","2","Seong Si-Baek","0","28/02/2010","0","Short-Track Speed Skating","South Korea","2","2010"
"19","2","Marianne St-Gelais","0","28/02/2010","0","Short-Track Speed Skating","Canada","2","2010"
"29","0","François-Louis Tremblay","1","28/02/2010","1","Short-Track Speed Skating","Canada","2","2010"
"18","0","Zhou Yang","0","28/02/2010","2","Short-Track Speed Skating","China","2","2010"
"21","1","Choi Eun-Gyeong","0","26/02/2006","1","Short-Track Speed Skating","South Korea","2","2006"
"21","1","Anouk Leblanc-Boucher","1","26/02/2006","0","Short-Track Speed Skating","Canada","2","2006"
"25","2","François-Louis Tremblay","0","26/02/2006","0","Short-Track Speed Skating","Canada","2","2006"
"17","1","Choi Eun-Gyeong","0","24/02/2002","1","Short-Track Speed Skating","South Korea","2","2002"
"15","1","Go Gi-Hyeon","0","24/02/2002","1","Short-Track Speed Skating","South Korea","2","2002"
"23","1","Jonathan Guilmette","0","24/02/2002","1","Short-Track Speed Skating","Canada","2","2002"
"26","1","Li Jiajun","1","24/02/2002","0","Short-Track Speed Skating","China","2","2002"
"19","1","Apolo Anton Ohno","0","24/02/2002","1","Short-Track Speed Skating","United States","2","2002"
"24","1","Evgeniya Radanova","1","24/02/2002","0","Short-Track Speed Skating","Bulgaria","2","2002"
"25","0","Mathieu Turcotte","1","24/02/2002","1","Short-Track Speed Skating","Canada","2","2002"
"23","1","Wang Chunlu","1","24/02/2002","0","Short-Track Speed Skating","China","2","2002"
"24","1","Yang Yang (S)","1","24/02/2002","0","Short-Track Speed Skating","China","2","2002"
"27","1","Shani Davis","0","28/02/2010","1","Speed Skating","United States","2","2010"
"33","1","Kristina Groves","1","28/02/2010","0","Speed Skating","Canada","2","2010"
"32","1","Chad Hedrick","1","28/02/2010","0","Speed Skating","United States","2","2010"
"23","0","Sven Kramer","1","28/02/2010","1","Speed Skating","Netherlands","2","2010"
"21","1","Lee Seung-Hun","0","28/02/2010","1","Speed Skating","South Korea","2","2010"
"21","1","Mo Tae-Beom","0","28/02/2010","1","Speed Skating","South Korea","2","2010"
"27","1","Ivan Skobrev","1","28/02/2010","0","Speed Skating","Russia","2","2010"
"29","0","Mark Tuitert","1","28/02/2010","1","Speed Skating","Netherlands","2","2010"
"26","1","Joey Cheek","0","26/02/2006","1","Speed Skating","United States","2","2006"
"23","1","Shani Davis","0","26/02/2006","1","Speed Skating","United States","2","2006"
"29","0","Anni Friesinger-Postma","1","26/02/2006","1","Speed Skating","Germany","2","2006"
"29","2","Kristina Groves","0","26/02/2006","0","Speed Skating","Canada","2","2006"
"33","1","Clara Hughes","0","26/02/2006","1","Speed Skating","Canada","2","2006"
"19","1","Sven Kramer","1","26/02/2006","0","Speed Skating","Netherlands","2","2006"
"33","1","Claudia Pechstein","0","26/02/2006","1","Speed Skating","Germany","2","2006"
"30","0","Carl Verheijen","2","26/02/2006","0","Speed Skating","Netherlands","2","2006"
"30","0","Erben Wennemars","2","26/02/2006","0","Speed Skating","Netherlands","2","2006"
"19","0","Ireen Wüst","1","26/02/2006","1","Speed Skating","Netherlands","2","2006"
"31","1","Derek Parra","0","24/02/2002","1","Speed Skating","United States","2","2002"
"29","0","Claudia Pechstein","0","24/02/2002","2","Speed Skating","Germany","2","2002"
"25","0","Jennifer Rodriguez","2","24/02/2002","0","Speed Skating","United States","2","2002"
"28","0","Simon Ammann","0","28/02/2010","2","Ski Jumping","Switzerland","2","2010"
"32","2","Adam Malysz","0","28/02/2010","0","Ski Jumping","Poland","2","2010"
"24","2","Matti Hautamäki","0","26/02/2006","0","Ski Jumping","Finland","2","2006"
"21","1","Andreas Kofler","0","26/02/2006","1","Ski Jumping","Austria","2","2006"
"29","0","Roar Ljøkelsøy","2","26/02/2006","0","Ski Jumping","Norway","2","2006"
"19","0","Thomas Morgenstern","0","26/02/2006","2","Ski Jumping","Austria","2","2006"
